rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates
21.636000000000003,4745,958464,117,201.98,201,-0.2027163456485141,2.161424872581847,0.07094674,0.31497442722320557,0.2,0.12755126953125,0.003,1.026373267173767,-0.006427694041303766,1160
21.909000000000002,4745,966656,118,204.26,203,-0.16576857520849445,1.689481941657141,0.04092097,0.30939751863479614,0.2,0.122607421875,0.003,0.7438329458236694,0.008653529253933812,1170
26.673,4745,974848,119,242.72,205,-0.1303047683351906,1.3830093910219148,0.043871723,0.37633073329925537,0.2,0.08985595703125,0.003,0.5045621991157532,0.009457371397365933,1180
35.278,4745,983040,120,312.12,207,-0.10092990337143419,1.1585775727289729,0.09342091,0.25058668851852417,0.2,0.10291748046875,0.003,0.7404404878616333,0.010900045802191016,1190
24.463,4745,991232,121,225.39,208,-0.10707139855076094,0.6934567111777141,0.07163997,0.19199824333190918,0.2,0.12210693359375,0.003,0.23436015844345093,0.013747763955143455,1200
9.448,4746,999424,122,104.58,210,-0.22189515808713622,0.9581778729101643,0.054225277,0.5117852091789246,0.2,0.17628173828125,0.003,0.34554949402809143,0.011463901753631944,1210
9.344000000000001,4746,1007616,123,103.81,212,-0.26904554504435507,0.4743718340760097,0.028986871,0.8326510190963745,0.2,0.156640625,0.003,0.09874126315116882,0.0069714625318738396,1220
9.482999999999999,4746,1015808,124,104.75,213,-0.2865760458342265,0.36868619729066265,0.029208794,0.8939138129353523,0.2,0.1284423828125,0.003,0.16534624993801117,0.00449190817798808,1230
9.722999999999999,4747,1024000,125,105.8,215,-0.30640224446542563,0.34880907157785257,0.032815572,0.8975745886564255,0.2,0.1514892578125,0.003,0.28005772829055786,0.007769450134401268,1240
10.165000000000001,4745,1032192,126,109.95,217,-0.2652936245431192,0.49494776548817754,0.039695136,0.7885366082191467,0.2,0.1613037109375,0.003,0.20401668548583984,-0.0017296943693509092,1250
10.634,4744,1040384,127,114.1,219,-0.2680391143425368,0.44181875706417484,0.039335437,0.8625850081443787,0.2,0.15958251953125,0.003,0.20808546245098114,0.0036815158016906937,1260
10.839,4744,1048576,128,115.79,221,-0.25013166189892216,0.3534502122667618,0.031794615,0.8811334744095802,0.2,0.13450927734375,0.003,0.11966323852539062,0.004920453050726792,1270
10.655,4742,1056768,129,113.86,222,-0.27635171728907154,0.38029660526663067,0.048950367,0.8746450990438461,0.2,0.12939453125,0.003,0.10500936955213547,0.0015636896720025105,1280
10.956000000000001,4741,1064960,130,116.6,224,-0.27293112960178406,0.35191884927335193,0.035251785,0.8639048188924789,0.2,0.14444580078125,0.003,0.11626316606998444,0.0024936243615229616,1290
12.483999999999998,4741,1073152,131,128.82,226,-0.2487714583054185,0.34270730105927216,0.03863535,0.8623596876859665,0.2,0.13035888671875,0.003,0.19567960500717163,0.0038873550850439644,1300
15.445,4740,1081344,132,152.58,228,-0.2058650923485402,0.5427633794373833,0.026984232,0.7156489491462708,0.2,0.10950927734375,0.003,0.2368708997964859,0.00404036381005426,1310
18.012,4740,1089536,133,173.21,229,-0.18368914777529427,0.6866159448283724,0.029692851,0.620221883058548,0.2,0.10323486328125,0.003,0.1378594934940338,0.0041744283436855765,1320
19.282,4740,1097728,134,183.39,231,-0.15966803628252818,0.7932750927866437,0.023865888,0.5481172502040863,0.2,0.09268798828125,0.003,0.5226284265518188,0.004198564174657804,1330
17.842,4741,1105920,135,171.87,233,-0.1611191260337364,0.8550483523635194,0.031140128,0.5849453210830688,0.2,0.09844970703125,0.003,0.3559083640575409,0.0007701301416091155,1340
16.080999999999996,4741,1114112,136,157.86,234,-0.1663516437401995,1.0490979991387577,0.02696415,0.48171836137771606,0.2,0.112060546875,0.003,0.5491554737091064,-0.0022072867264796513,1350
14.148,4742,1122304,137,142.49,236,-0.15137008775491267,1.0075917498907074,0.039238773,0.6649015843868256,0.2,0.1150634765625,0.003,0.3671536445617676,0.005777639300322335,1360
14.408999999999999,4741,1130496,138,144.29,238,-0.15199087769142353,0.8688802690245211,0.028059367,0.7220478951931,0.2,0.11591796875,0.003,0.3676000237464905,0.004732406494440511,1370
14.349,4742,1138688,139,142.7,240,-0.15350125101103912,0.730431413219776,0.048041888,0.7544486820697784,0.2,0.1228271484375,0.003,0.28295597434043884,0.012511314299536025,1380
13.229000000000001,4742,1146880,140,133.48,241,-0.12414525361382403,0.8029835566878318,0.07469857,0.6694346070289612,0.2,0.1091796875,0.003,0.258094847202301,0.013258276404849311,1390
13.384,4742,1155072,141,135.39,243,-0.141742294334108,0.659058723167982,0.048509125,0.7758430689573288,0.2,0.11837158203125,0.003,0.10982709378004074,0.002195071612550237,1400
13.403000000000002,4742,1163264,142,136.03,245,-0.12411827433679719,0.5051179104833864,0.09195923,0.8232424259185791,0.2,0.11614990234375,0.003,0.24083197116851807,0.01085609457386454,1410
13.660000000000002,4742,1171456,143,138.33,247,-0.1396020586369559,0.5449880204861983,0.039628178,0.8157259970903397,0.2,0.0993408203125,0.003,0.17751017212867737,0.005111990203295136,1420
15.6,4742,1179648,144,153.68,248,-0.19170676214853302,0.7353599547175691,0.06730449,0.7377544641494751,0.2,0.13931884765625,0.003,0.45156335830688477,0.003920608651787916,1430
16.833,4742,1187840,145,163.67,250,-0.1949279619497247,0.8662908586673439,0.040174738,0.5987544059753418,0.2,0.12674560546875,0.003,0.3260905146598816,0.0022963206645727043,1440
16.88,4742,1196032,146,164.23,252,-0.1715521109115798,0.9244093870045618,0.035805754,0.6136398017406464,0.2,0.11217041015625,0.003,0.7611993551254272,0.006801613215247926,1450
